tamanho,itemset,suporte,suporte_percentual
3,cluster=0 + faixa_dia=11-16 + periodo=tarde,0.1331945889698231,13.319458896982312
3,cluster=1 + faixa_dia=01-05 + periodo=tarde,0.10473465140478667,10.473465140478668
3,cluster=1 + faixa_dia=01-05 + periodo=noite,0.10416233090530697,10.416233090530696
3,cluster=0 + faixa_dia=11-16 + periodo=noite,0.09640998959417274,9.640998959417274
2,cluster=0 + faixa_dia=11-16,0.2537981269510926,25.379812695109262
2,cluster=1 + faixa_dia=01-05,0.21831425598335066,21.831425598335066
2,cluster=3 + periodo=manha,0.19323621227887616,19.323621227887617
2,cluster=0 + periodo=tarde,0.181945889698231,18.1945889698231
2,cluster=1 + periodo=tarde,0.16867845993756503,16.867845993756504
2,cluster=1 + periodo=noite,0.16477627471383974,16.477627471383975
2,latitude=norte + longitude=leste,0.15130072840790842,15.130072840790842
2,cluster=0 + periodo=noite,0.14849115504682622,14.849115504682622
2,latitude=centro_norte + longitude=centro_leste,0.13761706555671177,13.761706555671177
2,faixa_dia=11-16 + periodo=tarde,0.1374089490114464,13.74089490114464
2,faixa_dia=06-10 + periodo=tarde,0.13517169614984392,13.517169614984393
2,latitude=sul + longitude=oeste,0.12481789802289282,12.481789802289283
2,cluster=1 + faixa_dia=06-10,0.12455775234131114,12.455775234131114
2,faixa_dia=06-10 + periodo=noite,0.11560874089490114,11.560874089490113
2,cluster=3 + faixa_dia=06-10,0.11363163371488033,11.363163371488033
2,latitude=centro_sul + longitude=centro_oeste,0.11097814776274714,11.097814776274713
2,faixa_dia=01-05 + periodo=tarde,0.10967741935483871,10.967741935483872
2,faixa_dia=01-05 + periodo=noite,0.10920915712799167,10.920915712799168
2,latitude=centro_norte + periodo=tarde,0.1067117585848075,10.67117585848075
2,longitude=centro_leste + periodo=tarde,0.10213319458896983,10.213319458896983
2,latitude=centro_sul + longitude=oeste,0.10197710718002082,10.197710718002082
2,cluster=0 + faixa_dia=06-10,0.1008324661810614,10.08324661810614
2,faixa_dia=11-16 + periodo=noite,0.10031217481789802,10.031217481789803
2,cluster=0 + latitude=centro_norte,0.09963579604578564,9.963579604578564
2,cluster=1 + latitude=centro_norte,0.0977627471383975,9.77627471383975
2,latitude=norte + periodo=tarde,0.0949531737773153,9.49531737773153
2,longitude=centro_oeste + periodo=tarde,0.09469302809573361,9.469302809573362
2,cluster=0 + longitude=centro_leste,0.09417273673257023,9.417273673257023
2,longitude=leste + periodo=tarde,0.09401664932362123,9.401664932362124
2,latitude=centro_sul + periodo=tarde,0.09396462018730489,9.396462018730489
2,cluster=1 + longitude=centro_leste,0.09339229968782518,9.339229968782519
2,cluster=1 + longitude=oeste,0.09308012486992716,9.308012486992716
2,cluster=0 + longitude=oeste,0.09250780437044745,9.250780437044744
2,cluster=0 + latitude=centro_sul,0.09183142559833507,9.183142559833508
2,cluster=0 + longitude=centro_oeste,0.09157127991675339,9.157127991675338
2,longitude=oeste + periodo=tarde,0.09141519250780437,9.141519250780437
2,cluster=1 + latitude=centro_sul,0.090894901144641,9.0894901144641
2,faixa_dia=06-10 + longitude=centro_oeste,0.09032258064516129,9.032258064516128
2,faixa_dia=11-16 + latitude=centro_norte,0.09027055150884496,9.027055150884495
2,cluster=3 + latitude=norte,0.09016649323621227,9.016649323621227
2,latitude=sul + periodo=noite,0.09016649323621227,9.016649323621227
2,cluster=1 + longitude=centro_oeste,0.08917793964620187,8.917793964620186
2,faixa_dia=06-10 + latitude=centro_norte,0.08912591050988554,8.912591050988555
2,longitude=oeste + periodo=noite,0.08896982310093653,8.896982310093653
2,faixa_dia=11-16 + longitude=centro_leste,0.08860561914672216,8.860561914672216
2,latitude=centro_sul + periodo=noite,0.08834547346514048,8.834547346514048
2,faixa_dia=06-10 + latitude=centro_sul,0.08803329864724245,8.803329864724246
2,faixa_dia=06-10 + longitude=oeste,0.08730489073881374,8.730489073881374
2,faixa_dia=11-16 + longitude=leste,0.08699271592091572,8.699271592091572
2,faixa_dia=11-16 + latitude=norte,0.08688865764828303,8.688865764828304
2,latitude=sul + periodo=tarde,0.08662851196670135,8.662851196670134
2,latitude=centro_norte + periodo=noite,0.086264308012487,8.6264308012487
2,faixa_dia=06-10 + latitude=sul,0.08595213319458897,8.595213319458898
2,faixa_dia=06-10 + longitude=centro_leste,0.08569198751300729,8.569198751300728
2,faixa_dia=11-16 + periodo=manha,0.08454734651404787,8.454734651404786
2,faixa_dia=11-16 + longitude=centro_oeste,0.08449531737773153,8.449531737773153
2,faixa_dia=11-16 + latitude=centro_sul,0.0841831425598335,8.41831425598335
2,faixa_dia=06-10 + latitude=norte,0.08361082206035379,8.361082206035379
2,faixa_dia=06-10 + longitude=leste,0.08340270551508845,8.340270551508846
2,faixa_dia=11-16 + longitude=oeste,0.0831945889698231,8.31945889698231
2,longitude=centro_leste + periodo=noite,0.08314255983350677,8.314255983350677
2,cluster=0 + latitude=sul,0.08267429760665973,8.267429760665973
2,faixa_dia=01-05 + latitude=sul,0.08225806451612903,8.225806451612904
2,longitude=centro_oeste + periodo=noite,0.08210197710718002,8.210197710718003
2,faixa_dia=11-16 + latitude=sul,0.08194588969823101,8.194588969823101
2,cluster=0 + latitude=norte,0.08048907388137357,8.048907388137357
2,faixa_dia=01-05 + longitude=oeste,0.08012486992715921,8.012486992715921
1,periodo=tarde,0.38225806451612904,38.225806451612904
1,cluster=0,0.354630593132154,35.4630593132154
1,faixa_dia=06-10,0.34672216441207077,34.67221644120708
1,faixa_dia=11-16,0.3432882414151925,34.32882414151925
1,cluster=1,0.3428720083246618,34.28720083246618
1,periodo=noite,0.3251300728407908,32.51300728407908
1,faixa_dia=01-05,0.30998959417273675,30.998959417273674
1,cluster=3,0.2718522372528616,27.18522372528616
1,latitude=centro_norte,0.2513007284079084,25.13007284079084
1,longitude=oeste,0.25062434963579605,25.062434963579605
1,latitude=centro_sul,0.25046826222684704,25.046826222684704
1,latitude=sul,0.250156087408949,25.0156087408949
1,longitude=centro_oeste,0.24994797086368367,24.99479708636837
1,longitude=centro_leste,0.24989594172736732,24.98959417273673
1,longitude=leste,0.24953173777315296,24.953173777315296
1,latitude=norte,0.24807492195629552,24.807492195629553
1,periodo=manha,0.23210197710718003,23.210197710718003
