Date/Time,Base,Lat,Lon,Hour,Day,cluster_kmeans,Lat_original,Lon_original,hora,periodo,faixa_dia,faixa_lat,faixa_lon,distancia_media_5vizinhos,anomalia_distancia
2014-05-01 02:18:00,B02512,0.4238758553274593,0.2874330414080432,0.0869565217391304,1,3,40.7621,-73.976,2,madrugada,01-05,centro_norte,centro_leste,0.17671975687770342,False
2014-05-01 02:40:00,B02512,0.4182551319648055,0.2904940056117659,0.0869565217391304,1,3,40.7575,-73.9688,2,madrugada,01-05,centro_norte,leste,0.1753893135034682,False
2014-05-01 02:48:00,B02512,0.415078201368523,0.2830116486693299,0.0869565217391304,1,3,40.7549,-73.9864,2,madrugada,01-05,centro_norte,centro_oeste,0.2306110911397145,False
2014-05-01 02:59:00,B02512,0.4208211143694953,0.2888784967264683,0.0869565217391304,1,3,40.7596,-73.9726,2,madrugada,01-05,centro_norte,centro_leste,0.1503836671168562,False
2014-05-01 03:01:00,B02512,0.3826979472140763,0.277357367570783,0.1304347826086956,1,3,40.7284,-73.9997,3,madrugada,01-05,centro_sul,oeste,0.24120939349509646,False
2014-05-01 03:13:00,B02512,0.3780547409579711,0.2799506844656072,0.1304347826086956,1,3,40.7246,-73.9936,3,madrugada,01-05,sul,centro_oeste,0.21716970289822757,False
2014-05-01 03:19:00,B02512,0.3670576735092865,0.2815661933509048,0.1304347826086956,1,3,40.7156,-73.9898,3,madrugada,01-05,sul,centro_oeste,0.31741486909703454,False
2014-05-01 03:21:00,B02512,0.4050586510263869,0.2837768897202615,0.1304347826086956,1,3,40.7467,-73.9846,3,madrugada,01-05,centro_sul,centro_oeste,0.26450927819175296,False
2014-05-01 03:28:00,B02512,0.3655913978494567,0.2610747385426428,0.1304347826086956,1,3,40.7144,-74.038,3,madrugada,01-05,sul,oeste,0.5872151760233899,False
2014-05-01 03:31:00,B02512,0.5039100684261939,0.3004421392738692,0.1304347826086956,1,3,40.8276,-73.9454,3,madrugada,01-05,norte,leste,0.9410350425600745,True
2014-05-01 03:44:00,B02512,0.4166666666666643,0.2801632514241987,0.1304347826086956,1,3,40.7562,-73.9931,3,madrugada,01-05,centro_norte,centro_oeste,0.24059161029226503,False
2014-05-01 03:50:00,B02512,0.3845307917888547,0.2828415951024574,0.1304347826086956,1,3,40.7299,-73.9868,3,madrugada,01-05,centro_sul,centro_oeste,0.2516496481318587,False
2014-05-01 03:57:00,B02512,0.4411045943304046,0.298529036646542,0.1304347826086956,1,3,40.7762,-73.9499,3,madrugada,01-05,norte,leste,0.4082308955831431,False
2014-05-01 03:58:00,B02512,0.4137341153470117,0.2868378539239842,0.1304347826086956,1,3,40.7538,-73.9774,3,madrugada,01-05,centro_norte,centro_leste,0.21404118907704825,False
2014-05-01 03:58:00,B02512,0.3258797653958893,0.4111470113085609,0.1304347826086956,1,2,40.6819,-73.685,3,madrugada,01-05,sul,leste,1.5883451915099918,True
2014-05-01 04:04:00,B02512,0.4188660801564055,0.2818212737012153,0.1739130434782608,1,3,40.758,-73.9892,4,madrugada,01-05,centro_norte,centro_oeste,0.1893863370069293,False
2014-05-01 04:13:00,B02512,0.405303030303024,0.2739137828415927,0.1739130434782608,1,3,40.7469,-74.0078,4,madrugada,01-05,centro_sul,oeste,0.35863121981772067,False
2014-05-01 04:15:00,B02512,0.429007820136853,0.2808009522999732,0.1739130434782608,1,3,40.7663,-73.9916,4,madrugada,01-05,norte,centro_oeste,0.2300666843254544,False
2014-05-01 04:17:00,B02512,0.3719452590420289,0.2736161890995667,0.1739130434782608,1,3,40.7196,-74.0085,4,madrugada,01-05,sul,oeste,0.2714974344593132,False
2014-05-01 04:21:00,B02512,0.452101661779082,0.2894736842105274,0.1739130434782608,1,3,40.7852,-73.9712,4,madrugada,01-05,norte,centro_leste,0.22270567397270707,False
2014-05-01 04:24:00,B02512,0.4155669599217972,0.2890060369016218,0.1739130434782608,1,3,40.7553,-73.9723,4,madrugada,01-05,centro_norte,centro_leste,0.1922806053940016,False
2014-05-01 04:25:00,B02512,0.4400048875855304,0.2813111130005978,0.1739130434782608,1,3,40.7753,-73.9904,4,madrugada,01-05,norte,centro_oeste,0.2643041425601239,False
2014-05-01 04:28:00,B02512,0.4139784946236489,0.2868803673157032,0.1739130434782608,1,3,40.754,-73.9773,4,madrugada,01-05,centro_norte,centro_leste,0.18680556820676428,False
2014-05-01 04:35:00,B02512,0.4178885630498499,0.2931723492900246,0.1739130434782608,1,3,40.7572,-73.9625,4,madrugada,01-05,centro_norte,leste,0.25091448417923423,False
