Date/Time,Lat,Lon,Base,Hour,Day
2014-05-01 00:02:00,0.41165689149559626,0.2808859790834113,B02512,0.0,1
2014-05-01 00:06:00,0.34371945259042036,0.28934614403536685,B02512,0.0,1
2014-05-01 00:15:00,0.40469208211143837,0.2841169968540065,B02512,0.0,1
2014-05-01 00:17:00,0.4045698924731127,0.27676218008673104,B02512,0.0,1
2014-05-01 00:17:00,0.4205767350928653,0.2885383895927234,B02512,0.0,1
2014-05-01 00:20:00,0.4316959921798684,0.33568574100841886,B02512,0.0,1
2014-05-01 00:21:00,0.42583088954056336,0.2788453362809271,B02512,0.0,1
2014-05-01 00:21:00,0.37878787878787534,0.2762520193861029,B02512,0.0,1
2014-05-01 00:25:00,0.4221652003910066,0.29317234929002467,B02512,0.0,1
2014-05-01 00:25:00,0.37390029325513296,0.2823739477935554,B02512,0.0,1
2014-05-01 00:29:00,0.379154447702831,0.2778250148796886,B02512,0.0,1
2014-05-01 00:32:00,0.282869012707728,0.3664654366125326,B02512,0.0,1
2014-05-01 00:40:00,0.42289833822091794,0.28624266643992513,B02512,0.0,1
2014-05-01 00:56:00,0.4466031280547398,0.29861406342997654,B02512,0.0,1
2014-05-01 01:00:00,0.41947702834799117,0.28964373777739993,B02512,0.043478260869565216,1
2014-05-01 01:02:00,0.36791300097750934,0.2816937335260583,B02512,0.043478260869565216,1
2014-05-01 01:06:00,0.3803763440860237,0.2790153898477996,B02512,0.043478260869565216,1
2014-05-01 01:13:00,0.4163000977517086,0.28288410849417644,B02512,0.043478260869565216,1
2014-05-01 01:13:00,0.4299853372434015,0.2791004166312412,B02512,0.043478260869565216,1
2014-05-01 01:20:00,0.43438416422286963,0.2796105773318587,B02512,0.043478260869565216,1
2014-05-01 01:22:00,0.4221652003910066,0.28641272000680473,B02512,0.043478260869565216,1
2014-05-01 01:25:00,0.3946725317693023,0.27314854179066117,B02512,0.043478260869565216,1
2014-05-01 01:26:00,0.42008797653959107,0.2889210101181874,B02512,0.043478260869565216,1
2014-05-01 01:27:00,0.4037145650048899,0.2808434656916923,B02512,0.043478260869565216,1
2014-05-01 01:28:00,0.3828201368523878,0.27535923816001784,B02512,0.043478260869565216,1
2014-05-01 01:32:00,0.3746334310850443,0.2805883853413853,B02512,0.043478260869565216,1
2014-05-01 01:45:00,0.40175953079178583,0.2824589745769899,B02512,0.043478260869565216,1
2014-05-01 01:48:00,0.3602150537634401,0.2733611087492527,B02512,0.043478260869565216,1
2014-05-01 02:00:00,0.39833822091886617,0.27391378284159273,B02512,0.08695652173913043,1
2014-05-01 02:13:00,0.410068426197455,0.27484907745940035,B02512,0.08695652173913043,1
2014-05-01 02:18:00,0.4238758553274593,0.28743304140804327,B02512,0.08695652173913043,1
2014-05-01 02:40:00,0.41825513196480557,0.29049400561176597,B02512,0.08695652173913043,1
2014-05-01 02:48:00,0.415078201368523,0.28301164866932993,B02512,0.08695652173913043,1
2014-05-01 02:59:00,0.4208211143694953,0.28887849672646837,B02512,0.08695652173913043,1
2014-05-01 03:01:00,0.38269794721407635,0.277357367570783,B02512,0.13043478260869565,1
2014-05-01 03:13:00,0.3780547409579711,0.2799506844656072,B02512,0.13043478260869565,1
2014-05-01 03:19:00,0.36705767350928653,0.2815661933509048,B02512,0.13043478260869565,1
2014-05-01 03:21:00,0.40505865102638694,0.2837768897202615,B02512,0.13043478260869565,1
2014-05-01 03:28:00,0.3655913978494567,0.26107473854264285,B02512,0.13043478260869565,1
2014-05-01 03:31:00,0.5039100684261939,0.3004421392738692,B02512,0.13043478260869565,1
2014-05-01 03:44:00,0.4166666666666643,0.28016325142419873,B02512,0.13043478260869565,1
2014-05-01 03:50:00,0.38453079178885474,0.28284159510245743,B02512,0.13043478260869565,1
2014-05-01 03:57:00,0.4411045943304046,0.29852903664654207,B02512,0.13043478260869565,1
2014-05-01 03:58:00,0.41373411534701177,0.2868378539239842,B02512,0.13043478260869565,1
2014-05-01 03:58:00,0.32587976539588936,0.4111470113085609,B02512,0.13043478260869565,1
2014-05-01 04:04:00,0.4188660801564055,0.28182127370121535,B02512,0.17391304347826086,1
2014-05-01 04:13:00,0.40530303030302406,0.27391378284159273,B02512,0.17391304347826086,1
2014-05-01 04:15:00,0.429007820136853,0.28080095229997326,B02512,0.17391304347826086,1
2014-05-01 04:17:00,0.3719452590420289,0.27361618909956675,B02512,0.17391304347826086,1
2014-05-01 04:21:00,0.45210166177908206,0.28947368421052744,B02512,0.17391304347826086,1
2014-05-01 04:24:00,0.41556695992179726,0.28900603690162185,B02512,0.17391304347826086,1
2014-05-01 04:25:00,0.44000488758553047,0.28131111300059786,B02512,0.17391304347826086,1
2014-05-01 04:28:00,0.4139784946236489,0.2868803673157032,B02512,0.17391304347826086,1
2014-05-01 04:35:00,0.4178885630498499,0.29317234929002467,B02512,0.17391304347826086,1
2014-05-01 04:41:00,0.4329178885630469,0.29334240285689717,B02512,0.17391304347826086,1
2014-05-01 04:43:00,0.449046920821111,0.28879346994303035,B02512,0.17391304347826086,1
2014-05-01 04:44:00,0.428152492668616,0.2930022957231486,B02512,0.17391304347826086,1
2014-05-01 04:51:00,0.37634408602150415,0.4570189609727038,B02512,0.17391304347826086,1
2014-05-01 04:51:00,0.3423753665689162,0.2015559901368924,B02512,0.17391304347826086,1
2014-05-01 04:58:00,0.42192082111436946,0.28262902814386237,B02512,0.17391304347826086,1
2014-05-01 05:00:00,0.36033724340175155,0.27680469347844294,B02512,0.21739130434782608,1
2014-05-01 05:01:00,0.42375366568914785,0.28488223790493805,B02512,0.21739130434782608,1
2014-05-01 05:05:00,0.3647360703812339,0.2929172689397177,B02512,0.21739130434782608,1
2014-05-01 05:06:00,0.4411045943304046,0.29410764390782873,B02512,0.21739130434782608,1
2014-05-01 05:07:00,0.41165689149559626,0.2851798316469676,B02512,0.21739130434782608,1
2014-05-01 05:08:00,0.4453812316715471,0.28645523339851664,B02512,0.21739130434782608,1
2014-05-01 05:17:00,0.4384164222873892,0.28471218433806555,B02512,0.21739130434782608,1
2014-05-01 05:17:00,0.39540566959921364,0.2760819658192304,B02512,0.21739130434782608,1
2014-05-01 05:18:00,0.44342619745845724,0.28790068871694174,B02512,0.21739130434782608,1
2014-05-01 05:21:00,0.4227761485825994,0.277442394354221,B02512,0.21739130434782608,1
2014-05-01 05:23:00,0.4203323558162282,0.2672816937335263,B02512,0.21739130434782608,1
2014-05-01 05:24:00,0.5795454545454533,0.364849927727235,B02512,0.21739130434782608,1
2014-05-01 05:27:00,0.40285923753666,0.2869228807074222,B02512,0.21739130434782608,1
2014-05-01 05:29:00,0.3420087976539534,0.2013859365700199,B02512,0.21739130434782608,1
2014-05-01 05:30:00,0.4341397849462325,0.283309242411363,B02512,0.21739130434782608,1
2014-05-01 05:34:00,0.3879521016617815,0.27348864892441327,B02512,0.21739130434782608,1
2014-05-01 05:35:00,0.4683528836754576,0.2887509565513149,B02512,0.21739130434782608,1
2014-05-01 05:36:00,0.4073802541544538,0.2884108494175699,B02512,0.21739130434782608,1
2014-05-01 05:38:00,0.3934506353861167,0.26141484567638784,B02512,0.21739130434782608,1
2014-05-01 05:38:00,0.45943304007820274,0.29206700110534456,B02512,0.21739130434782608,1
