Date/Time,Base,Lat,Lon,Hour,Day,cluster_kmeans,Lat_original,Lon_original
2014-05-01 04:17:00,B02512,0.3719452590420289,0.2736161890995667,0.1739130434782608,1,3,40.7196,-74.0085
2014-05-01 04:21:00,B02512,0.452101661779082,0.2894736842105274,0.1739130434782608,1,3,40.7852,-73.9712
2014-05-01 04:24:00,B02512,0.4155669599217972,0.2890060369016218,0.1739130434782608,1,3,40.7553,-73.9723
2014-05-01 04:25:00,B02512,0.4400048875855304,0.2813111130005978,0.1739130434782608,1,3,40.7753,-73.9904
2014-05-01 04:28:00,B02512,0.4139784946236489,0.2868803673157032,0.1739130434782608,1,3,40.754,-73.9773
2014-05-01 04:35:00,B02512,0.4178885630498499,0.2931723492900246,0.1739130434782608,1,3,40.7572,-73.9625
2014-05-01 04:41:00,B02512,0.4329178885630469,0.2933424028568971,0.1739130434782608,1,3,40.7695,-73.9621
2014-05-01 04:43:00,B02512,0.449046920821111,0.2887934699430303,0.1739130434782608,1,3,40.7827,-73.9728
2014-05-01 04:44:00,B02512,0.428152492668616,0.2930022957231486,0.1739130434782608,1,3,40.7656,-73.9629
2014-05-01 04:51:00,B02512,0.3763440860215041,0.4570189609727038,0.1739130434782608,1,2,40.7232,-73.5771
2014-05-01 04:51:00,B02512,0.3423753665689162,0.2015559901368924,0.1739130434782608,1,3,40.6954,-74.178
2014-05-01 04:58:00,B02512,0.4219208211143694,0.2826290281438623,0.1739130434782608,1,3,40.7605,-73.9873
2014-05-01 05:00:00,B02512,0.3603372434017515,0.2768046934784429,0.217391304347826,1,3,40.7101,-74.001
2014-05-01 05:01:00,B02512,0.4237536656891478,0.284882237904938,0.217391304347826,1,3,40.762,-73.982
2014-05-01 05:05:00,B02512,0.3647360703812339,0.2929172689397177,0.217391304347826,1,3,40.7137,-73.9631
2014-05-01 05:06:00,B02512,0.4411045943304046,0.2941076439078287,0.217391304347826,1,3,40.7762,-73.9603
2014-05-01 05:07:00,B02512,0.4116568914955962,0.2851798316469676,0.217391304347826,1,3,40.7521,-73.9813
2014-05-01 05:08:00,B02512,0.4453812316715471,0.2864552333985166,0.217391304347826,1,3,40.7797,-73.9783
